100%|██████████| 1000/1000 [14:39<00:00,  1.14it/s]

============================================================
🔶 SPARSE TRAINING
============================================================
Config: 2L×128D×4H, L0=0.1
wandb: WARNING Calling wandb.login() after wandb.init() has no effect.
wandb: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 10000 steps (~1000 epochs)
Epoch 320: val_loss=4.6006, val_acc=0.0091
Epoch 321: val_loss=4.5981, val_acc=0.0091
Epoch 322: val_loss=4.5983, val_acc=0.0087
Epoch 323: val_loss=4.5978, val_acc=0.0079
Epoch 324: val_loss=4.5981, val_acc=0.0079
Epoch 325: val_loss=4.6011, val_acc=0.0100
Epoch 326: val_loss=4.6012, val_acc=0.0100
Epoch 327: val_loss=4.6010, val_acc=0.0096
Epoch 328: val_loss=4.6004, val_acc=0.0085
Epoch 329: val_loss=4.5991, val_acc=0.0104
Epoch 330: val_loss=4.5997, val_acc=0.0096
Epoch 331: val_loss=4.5995, val_acc=0.0098
Epoch 332: val_loss=4.5987, val_acc=0.0104
Epoch 333: val_loss=4.5977, val_acc=0.0096
Epoch 334: val_loss=4.5981, val_acc=0.0085
Epoch 335: val_loss=4.5974, val_acc=0.0077
Epoch 336: val_loss=4.5972, val_acc=0.0081
Epoch 337: val_loss=4.5964, val_acc=0.0072
Epoch 338: val_loss=4.6019, val_acc=0.0106
Epoch 339: val_loss=4.6014, val_acc=0.0098
Epoch 340: val_loss=4.6009, val_acc=0.0096
Epoch 341: val_loss=4.6000, val_acc=0.0091
Epoch 342: val_loss=4.5991, val_acc=0.0085
Epoch 343: val_loss=4.5985, val_acc=0.0074
Epoch 344: val_loss=4.5983, val_acc=0.0070
Epoch 345: val_loss=4.5983, val_acc=0.0070
Epoch 346: val_loss=4.5976, val_acc=0.0079
Epoch 347: val_loss=4.5996, val_acc=0.0068
Epoch 348: val_loss=4.5995, val_acc=0.0072
Epoch 349: val_loss=4.5993, val_acc=0.0072
Epoch 350: val_loss=4.5995, val_acc=0.0068
Epoch 351: val_loss=4.6058, val_acc=0.0055
Epoch 352: val_loss=4.6052, val_acc=0.0060
Epoch 353: val_loss=4.6048, val_acc=0.0070
Epoch 354: val_loss=4.6036, val_acc=0.0066
Epoch 355: val_loss=4.6027, val_acc=0.0062
Epoch 356: val_loss=4.6118, val_acc=0.0079
Epoch 357: val_loss=4.6107, val_acc=0.0077
Epoch 358: val_loss=4.6085, val_acc=0.0079
Epoch 359: val_loss=4.6084, val_acc=0.0081
Epoch 360: val_loss=4.6153, val_acc=0.0102
Epoch 361: val_loss=4.6145, val_acc=0.0096
Epoch 362: val_loss=4.6136, val_acc=0.0077
Epoch 363: val_loss=4.6114, val_acc=0.0085
Epoch 364: val_loss=4.6117, val_acc=0.0089
Epoch 365: val_loss=4.6113, val_acc=0.0074
Epoch 366: val_loss=4.6126, val_acc=0.0077
Epoch 367: val_loss=4.6108, val_acc=0.0064
Epoch 368: val_loss=4.6112, val_acc=0.0051
Epoch 369: val_loss=4.6092, val_acc=0.0062
Epoch 370: val_loss=4.6091, val_acc=0.0079
Epoch 371: val_loss=4.6096, val_acc=0.0064
Epoch 372: val_loss=4.6091, val_acc=0.0079
Epoch 373: val_loss=4.6102, val_acc=0.0068
Epoch 374: val_loss=4.6113, val_acc=0.0060
Epoch 375: val_loss=4.6109, val_acc=0.0066
Epoch 376: val_loss=4.6126, val_acc=0.0066
Epoch 377: val_loss=4.6163, val_acc=0.0062
Epoch 378: val_loss=4.6169, val_acc=0.0053
Epoch 379: val_loss=4.6170, val_acc=0.0070
Epoch 380: val_loss=4.6176, val_acc=0.0068
Epoch 381: val_loss=4.6168, val_acc=0.0068
Epoch 382: val_loss=4.6166, val_acc=0.0085
Epoch 383: val_loss=4.6160, val_acc=0.0079
Epoch 384: val_loss=4.6161, val_acc=0.0053
Epoch 385: val_loss=4.6180, val_acc=0.0085
Epoch 386: val_loss=4.6180, val_acc=0.0083
Epoch 387: val_loss=4.6186, val_acc=0.0083
Epoch 388: val_loss=4.6170, val_acc=0.0083
Epoch 389: val_loss=4.6166, val_acc=0.0096
Epoch 390: val_loss=4.6193, val_acc=0.0060
Epoch 391: val_loss=4.6218, val_acc=0.0094
Epoch 392: val_loss=4.6188, val_acc=0.0057
Epoch 393: val_loss=4.6184, val_acc=0.0068
Epoch 394: val_loss=4.6172, val_acc=0.0066
Epoch 395: val_loss=4.6192, val_acc=0.0064
Epoch 396: val_loss=4.6173, val_acc=0.0070
Epoch 397: val_loss=4.6195, val_acc=0.0085
Epoch 398: val_loss=4.6194, val_acc=0.0057
Epoch 399: val_loss=4.6189, val_acc=0.0064
Epoch 400: val_loss=4.6202, val_acc=0.0070
Epoch 401: val_loss=4.6190, val_acc=0.0079
Epoch 402: val_loss=4.6180, val_acc=0.0070
Epoch 403: val_loss=4.6179, val_acc=0.0062
Epoch 404: val_loss=4.6197, val_acc=0.0074
Epoch 405: val_loss=4.6202, val_acc=0.0072
Epoch 406: val_loss=4.6209, val_acc=0.0055
Epoch 407: val_loss=4.6209, val_acc=0.0066
Epoch 408: val_loss=4.6221, val_acc=0.0079
Epoch 409: val_loss=4.6217, val_acc=0.0064
Epoch 410: val_loss=4.6193, val_acc=0.0055
Epoch 411: val_loss=4.6197, val_acc=0.0066
Epoch 412: val_loss=4.6212, val_acc=0.0074
Epoch 413: val_loss=4.6205, val_acc=0.0068
Epoch 414: val_loss=4.6211, val_acc=0.0083
Epoch 415: val_loss=4.6198, val_acc=0.0083
Epoch 416: val_loss=4.6214, val_acc=0.0085
Epoch 417: val_loss=4.6205, val_acc=0.0057
Epoch 418: val_loss=4.6217, val_acc=0.0057
Epoch 419: val_loss=4.6218, val_acc=0.0072
Epoch 420: val_loss=4.6220, val_acc=0.0062
Epoch 421: val_loss=4.6177, val_acc=0.0062
Epoch 422: val_loss=4.6174, val_acc=0.0057
Epoch 423: val_loss=4.6175, val_acc=0.0070
Epoch 424: val_loss=4.6200, val_acc=0.0089
Epoch 425: val_loss=4.6179, val_acc=0.0085
Epoch 426: val_loss=4.6171, val_acc=0.0074
Epoch 427: val_loss=4.6178, val_acc=0.0064
Epoch 428: val_loss=4.6199, val_acc=0.0074
Epoch 429: val_loss=4.6180, val_acc=0.0074
Epoch 430: val_loss=4.6167, val_acc=0.0079
Epoch 431: val_loss=4.6193, val_acc=0.0047
Epoch 432: val_loss=4.6169, val_acc=0.0055
Epoch 433: val_loss=4.6157, val_acc=0.0068
Epoch 434: val_loss=4.6162, val_acc=0.0068
Epoch 435: val_loss=4.6168, val_acc=0.0057
Epoch 436: val_loss=4.6146, val_acc=0.0068
Epoch 437: val_loss=4.6131, val_acc=0.0070
Epoch 438: val_loss=4.6139, val_acc=0.0060
Epoch 439: val_loss=4.6152, val_acc=0.0049
Epoch 440: val_loss=4.6157, val_acc=0.0060
Epoch 441: val_loss=4.6163, val_acc=0.0055
Epoch 442: val_loss=4.6159, val_acc=0.0049
Epoch 443: val_loss=4.6174, val_acc=0.0066
Epoch 444: val_loss=4.6145, val_acc=0.0062
Epoch 445: val_loss=4.6163, val_acc=0.0064
Epoch 446: val_loss=4.6148, val_acc=0.0066
Epoch 447: val_loss=4.6145, val_acc=0.0060
Epoch 448: val_loss=4.6148, val_acc=0.0068
Epoch 449: val_loss=4.6136, val_acc=0.0062
Epoch 450: val_loss=4.6123, val_acc=0.0060
Epoch 451: val_loss=4.6128, val_acc=0.0089
Epoch 452: val_loss=4.6121, val_acc=0.0079
Epoch 453: val_loss=4.6113, val_acc=0.0070
Epoch 454: val_loss=4.6130, val_acc=0.0047
Epoch 455: val_loss=4.6109, val_acc=0.0066
Epoch 456: val_loss=4.6115, val_acc=0.0062
Epoch 457: val_loss=4.6123, val_acc=0.0068
Epoch 458: val_loss=4.6134, val_acc=0.0087
